corpusid_sectionid,title,date,section_title,question_rephrased,markdown_link,IDK
8729907-s1,The Language ENvironment Analysis (LENA) System: A Literature Review,2016-11-15,The LENA System,How does the LENA System analyze audio recordings to determine language exposure and interaction metrics?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/8729907-s1.md,False
263153015-s2,"A Survey of Chain of Thought Reasoning: Advances, Frontiers and Future",2023-09-27,Background,In what ways does chain-of-thought prompting improve the reasoning capabilities and interpretability of large language models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/263153015-s2.md,False
251307817-s12,Rhetorical Structure Approach for Online Deception Detection: A Survey,2022,Discourse-Aware Deception Detection: Main Challenges,"What are the main criticisms of the original RST proposal, and how have researchers addressed these issues?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251307817-s12.md,False
252461144-s4,A Survey of Machine Translation Tasks on Nigerian Languages,2022,Machine Translation Techniques,"What is the Rule-based Approach in machine translation, and what are its benefits and limitations?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/252461144-s4.md,False
246017121-s16,Automatic Speech Recognition Datasets in Cantonese: A Survey and New Dataset,2022-01-07,Implementation Details,How is data pre-processed and tokenized in Cantonese automatic speech recognition datasets?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/246017121-s16.md,False
14642384-s3,DISCOURSE-NEW DETECTORS FOR DEFINITE DESCRIPTION RESOLUTION: A SURVEY AND A PRELIMINARY PROPOSAL,2004-07-01,Descriptions serving as disguised PROPER,How are decision trees used to classify definite descriptions as either discourse-new or anaphoric?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/14642384-s3.md,False
237353268-s8,Neuron-level Interpretation of Deep NLP Models: A Survey,2021-08-30,Causation-based methods,How do causation-based methods like ablation determine and assess the significance of neurons in deep NLP models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237353268-s8.md,False
237353268-s18,Neuron-level Interpretation of Deep NLP Models: A Survey,2021-08-30,Lexical Concepts,"How have researchers identified neurons that capture lexical concepts in deep NLP models, and what methods have they used?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237353268-s18.md,False
263835243-s4,How Do Large Language Models Capture the Ever-changing World Knowledge? A Review of Recent Advances,2023-10-11,Continual Learning,How do regularization-based methods and replay methods help mitigate catastrophic forgetting in continual learning?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/263835243-s4.md,False
264490542-s3,An Integrative Survey on Mental Health Conversational Agents to Bridge Computer Science and Medical Perspectives,2023-10-25,Paper Databases,"What was the process for selecting papers in the study of mental health conversational agents, and what criteria were applied during the search?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264490542-s3.md,False
264305746-s6,The Sentiment Problem: A Critical Survey towards Deconstructing Sentiment Analysis,2023-10-18,The Social Perception of Sentiment,"How do the definitions of opinion, emotion, and subjectivity differ from sentiment, and why are they not synonymous?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264305746-s6.md,False
264305746-s14,The Sentiment Problem: A Critical Survey towards Deconstructing Sentiment Analysis,2023-10-18,Finance,"How is sentiment defined in the context of finance, and what are the common assumptions made about it in most studies?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264305746-s14.md,False
258832362-s3,Beyond Words: A Comprehensive Survey of Sentence Representations,2023-05-22,Word Representations,How did Word2Vec overcome the limitations of traditional word representation methods in natural language processing?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258832362-s3.md,False
258832362-s12,Beyond Words: A Comprehensive Survey of Sentence Representations,2023-05-22,Model Level,How can dropout be used to create positive examples for sentence representations in contrastive learning?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258832362-s12.md,False
